word,selected_sentence,sentence_length,original_frequency
prelate,Leonardo Grifo (died 1485) was a Roman Catholic prelate who served as Archbishop of Benevento (1482–1485).,16,46
slaughter,"On May 25, 2018, Slaughter in the Vatican was inducted into the Decibel Magazine Hall of Fame.",17,46
built,"On a palazzo he built he added the superscription ""Amphion Thebas, ego domum"" (""Amphion built Thebes, I this house"").",19,46
functionality,"More complex error propagation can be achieved using the or monads, for which similar functionality (using ) is supported.",19,46
buyer,"A search for a buyer began, but in spite of the filing the stores continued to do business as before.",20,46
aluminium,Thus it was proved that the oxidation takes place in accordance with the first step of aluminium oxide formation.,19,46
icon,Macpherson received the Style Icon award at the 2006 Elle Style Awards presented by fashion magazine Elle.,17,46
duel,"It was a classic duel on the daunting circuit, which still lacked armco around half the track in 1974.",19,46
femur,Clinical significance A hip fracture is a break that occurs in the upper part of the femur.,17,46
iteration,Kadokawa Dwango itself became the second iteration of Kadokawa Corporation.,10,46
surrounding,This allows the properties of the surrounding dark cloud to be examined by astronomers.,14,46
liability,"'Egalitarianism is at the heart of this vision, but idealism may be just a liability.'",15,46
folklore,"Characters mix archaic Russian language, typical for folklore, with neologisms of modern Russian, providing additional comic effect.",17,46
substitution,"Trade substitution was encouraged, but remained limited anyway due to the policy of closure, or Sakoku.",16,46
apps,"The NumWorks calculator also includes an ""exam mode"" which removes all Python programs, resets all apps, and disables certain features.",20,46
royalty,"Heraldry The fleur-de-lis, associated primarily with French royalty, is a stylized lily flower.",13,46
heard,Elper recalls how he heard how a Belarusian policeman told a Jewish girl about an upcoming pogrom.,17,46
bold,"New playable characters are listed below in bold, while guest characters are listed below with an underscore.",17,46
oxide,Copper(I) oxide is also responsible for the pink color in a positive Benedict's test.,14,46
turnover,"They allowed only 58 net passing yards, compared to their own total of 258, but lost the turnover count 4–1.",20,46
bulb,"Flake scars are absent on the ventral surface of these blades, though eraillure flakes are sometimes present on the bulb.",20,46
known,"They are known for their song ""Two Hangmen"", which garnered a significant amount of Album Oriented Rock airplay.",18,45
fresco,The fresco is located in the church of Evagelastria in Kastro Kefalonia.,12,45
electrode,"Since this measurement is relatively simple, usually SP downhole electrode is built into other logging tools.",16,45
biodiversity,Functional Agrobiodiversity Functional agrobiodiversity refers to the biodiversity present within agricultural fields or landscapes.,14,45
graft,"In these cases, a graft is made at a desired height on a stock plant with a strong stem.",19,45
abdomen,"Flat abdomen A 1982 study found that an abdomen that protrudes was the ""least attractive"" trait for men.",18,45
dirt,A few dirt roads traverse the interior and link seacoast villages and settlements.,13,45
produce,"By September 2021, the Schnucks local produce program grew by 173% over one year by utilizing the Foodshed.io platform.",19,45
delta,"The fan in the Bay of Bengal, south of the Ganges-Brahmaputra delta, is also known as Ganga Fan.",18,45
accent,"(In later life, he spoke in a distinctive, high-pitched voice with a mid-European accent offset with South African overtones.)",19,45
baron,"Francis, second son of the second Baron, was a Major-General in the British Army.",14,45
depreciation,Other adjustments such as posting depreciation and prepayments are also done at this time.,14,45
insignia,The insignia was adopted in 1959 as the official insignia but was not used on uniforms or widely until 1972.,20,45
communism,"It was a propaganda work, with a red monkey representing communism.",11,45
conscience,"Historian Robert Blake explains the dilemma: the Liberals were traditionally the party of freedom of speech, conscience and trade.",19,45
retaliation,"In retaliation, Henry challenged Clifford's hereditary right to the shrievalty of Westmorland with quo warranto proceedings in 1505.",18,45
vicar,"Arthur Herbert Procter, Victoria Cross recipient, was parish vicar of Bosley from 1931 to 1933.",15,45
ransom,Kanan and Jukebox plan to kill Tariq anyway after receiving the ransom.,12,45
syn,"Fucodium capense Areschoug 1854, (Cape Infanta to Groen River) Family Sargassaceae Long-leafed sargassum Anthophycus longifolius (Turner) Kützing, 1849 syn.",19,45
armistice,"On 25 June the Armistice of Villa Incisa came into effect, ending the war between Italy and France.",18,45
rainforest,This may aid the bird when having to hunt for prey within the rainforest environment in which they are located.,20,45
motivation,The prosecutor of the case believes homophobia was the main motivation behind the crime.,14,45
aperture,The length of the narrow aperture is the same as the height of the spire.,15,45
veto,The HouseGuests competed in the Best of Duck Power of Veto competition.,12,45
varsity,"The men's varsity soccer team, coached by Dave DeBoer, won the 2022 division three Michigan state championship.",17,45
brothel,"The cover shows the band members in front of a low-budget hotel called ""Loves House"", which was actually a brothel.",20,45
hostility,"Background The Spanish military greeted the advent of the Republic with little enthusiasm, though also with no particular hostility.",19,45
annals,Since 2004 he is an editor of the Annals of Mathematics.,11,45
que,Eu Sei que Vou Te Amar was released in 1994 in Brazil by João Gilberto.,15,45
subunit,Mediator of RNA polymerase II transcription subunit 22 is an enzyme that in humans is encoded by the MED22 gene.,20,45
whale,"She nicknames Linda ""Blubber"", because Linda presented a report on the whale and she is large-bodied.",16,45
audition,Her audition video has since garnered 4 million views on YouTube ().,12,45
hut,"These hut circles were usually in pairs, and surrounded by groups of tumuli of sepulchral origin.",16,45
reorganization,"After a reorganization and the destruction of its Tiffin works by fire, the company was lured to Hartford City, Indiana.",20,45
stack,Force Feed loaders create a stack of paint balls leading into the marker.,13,45
lunch,After lunch he buys some fish from a local fishmonger for dinner.,12,45
endurance,"Winners: Brad, Devin, Jemmye, Natalie, Nicole Z., Tony & Zach Help Me, Rhonda: This is an individual endurance competition.",19,45
multiple,"In fact, one can colligate the facts via multiple, conflicting hypotheses.",11,45
terrorist,"""After every major terrorist incident, the excuse makers come out to tell us ... why the terrorists acted.",18,45
abolitionist,"Marriage and family After a four-year courtship, Kelley married fellow abolitionist Stephen Symonds Foster in 1845.",16,45
blogger,"His character is drawn from the real-life New Orleans blogger, Ashley Morris.",12,45
schooling,"Of the 43 who completed tertiary schooling, 69.8% were Swiss men, 27.9% were Swiss women.",15,45
professorship,"In his will, he left £10,000 to the university (), with the interest arising to be applied to the professorship.",20,45
terrace,There are around 300 terrace houses and flat houses in this development.,12,45
allegiance,A newly-appointed premier takes an oath of allegiance in the SPA on behalf of other cabinet members.,17,45
convection,"The low continued quickly westward, generating only sporadic convection, and crossed Florida on November 3.",15,45
disagreement,A disagreement about a personality trait will prevent the gain of a high content validity.,15,45
tide,"As the wetlands do not appear even in low tide, visitors can fish on rocks near Seopori Ferry.",18,45
coefficient,The latter osmotic coefficient is sometimes called the rational osmotic coefficient.,11,45
humour,"Divergent genres such as humour, caricature, and horror were dominant forms of comics in that time.",16,45
pier,A promenade was built along the seafront in 1903 and a pleasure pier opened in 1905.,16,45
tug,The car could also act as an aircraft tug at airports.,11,45
amongst,"Despite the broadening of television offerings, Qatar TV remains popular amongst locals.",12,45
inflammation,"Furthermore, it's dysfunction is involved in autoimmunity or other diseases, such as allergic airway inflammation or psoriatic arthritis.",18,44
integrin,"The binding of CXCL8 to CXCR1/2 on the neutrophil stimulates the neutrophils to upregulate their expression of the integrin, LFA-1, which takes part in high affinity bonding with ICAM-1 receptors expressed on the endothelium.",34,44
carpet,Career Law originally found a job as a traveling carpet salesman.,11,44
handle,"The nagamaki's handle was wrapped with leather or silk cords in criss-crossed manner, very similar to that of a katana's.",20,44
shadow,The responsibilities of Nautilus were divided between developing further Shadow Hearts titles and supporting the production of Aruze's pachinko machines.,20,44
autograph,Beethoven's autograph of the piano duet version of his Große Fuge sold for £1.1m at Sotheby's in 2005.,18,44
